#Table: J/A+A/552/A124/tablee4.dat (cdsarc.u-strasbg.fr)
#---------------------------------------------------------------------------
#    l|      |      |      |      |      |      |      |      |      |
#ambda|  Tr00|  Tr23|  Tr47|  Tr70|  Tr93| Tr117| Tr140| Tr163| Tr186| Tr210
#-----|------|------|------|------|------|------|------|------|------|------
 4000|0.0000|0.0000|0.0008|0.0008|0.0008|0.0008|0.0009|0.0012|0.0018|0.0019
 4005|0.0000|0.0000|0.0016|0.0016|0.0016|0.0017|0.0019|0.0022|0.0032|0.0035
 4010|0.0000|0.0000|0.0020|0.0020|0.0021|0.0021|0.0024|0.0026|0.0037|0.0041
 4015|0.0001|0.0001|0.0023|0.0023|0.0023|0.0024|0.0027|0.0029|0.0042|0.0047
 4020|0.0005|0.0005|0.0025|0.0026|0.0026|0.0027|0.0030|0.0033|0.0048|0.0054
 4025|0.0012|0.0011|0.0028|0.0028|0.0029|0.0030|0.0033|0.0036|0.0056|0.0065
 4030|0.0017|0.0016|0.0031|0.0031|0.0032|0.0033|0.0037|0.0041|0.0067|0.0080
 4035|0.0021|0.0019|0.0034|0.0035|0.0036|0.0038|0.0042|0.0047|0.0083|0.0101
 4040|0.0023|0.0021|0.0040|0.0040|0.0041|0.0043|0.0049|0.0056|0.0107|0.0132
 4045|0.0025|0.0024|0.0047|0.0048|0.0048|0.0051|0.0059|0.0068|0.0140|0.0177
 4050|0.0028|0.0028|0.0058|0.0059|0.0059|0.0062|0.0074|0.0086|0.0188|0.0237
 4055|0.0031|0.0034|0.0074|0.0075|0.0074|0.0078|0.0094|0.0111|0.0251|0.0316
 4060|0.0036|0.0042|0.0096|0.0097|0.0096|0.0101|0.0123|0.0146|0.0332|0.0411
 4065|0.0042|0.0054|0.0127|0.0128|0.0126|0.0133|0.0162|0.0195|0.0430|0.0521
 4070|0.0052|0.0071|0.0169|0.0171|0.0168|0.0177|0.0216|0.0258|0.0540|0.0642
 4075|0.0065|0.0095|0.0223|0.0226|0.0223|0.0234|0.0284|0.0337|0.0660|0.0768
 4080|0.0084|0.0127|0.0289|0.0293|0.0290|0.0305|0.0366|0.0429|0.0784|0.0899
 4085|0.0109|0.0167|0.0363|0.0368|0.0368|0.0387|0.0459|0.0530|0.0913|0.1038
 4090|0.0142|0.0214|0.0441|0.0449|0.0452|0.0476|0.0557|0.0636|0.1049|0.1194
 4095|0.0182|0.0267|0.0519|0.0530|0.0538|0.0568|0.0658|0.0743|0.1204|0.1381
 4100|0.0230|0.0325|0.0597|0.0610|0.0624|0.0661|0.0761|0.0854|0.1392|0.1612
