##Table: J/A+A/552/A124/tablee6.dat (cdsarc.u-strasbg.fr)
#---------------------------------------------------------------------------
#    l|      |      |      |      |      |      |      |      |      |
#ambda|  Tr00|  Tr23|  Tr47|  Tr70|  Tr93| Tr117| Tr140| Tr163| Tr186| Tr210
#-----|------|------|------|------|------|------|------|------|------|------
 6650|0.0001|0.0001|0.0000|0.0011|0.0013|0.0013|0.0018|0.0024|0.0025|0.0024
 6655|0.0005|0.0005|0.0000|0.0019|0.0023|0.0024|0.0031|0.0043|0.0045|0.0043
 6660|0.0009|0.0009|0.0001|0.0021|0.0025|0.0026|0.0034|0.0048|0.0050|0.0048
 6665|0.0014|0.0014|0.0004|0.0022|0.0027|0.0028|0.0037|0.0051|0.0054|0.0051
 6670|0.0018|0.0018|0.0009|0.0023|0.0029|0.0030|0.0039|0.0055|0.0058|0.0055
 6675|0.0019|0.0019|0.0014|0.0025|0.0030|0.0032|0.0042|0.0058|0.0062|0.0059
 6680|0.0021|0.0020|0.0018|0.0026|0.0032|0.0034|0.0045|0.0063|0.0066|0.0063
 6685|0.0022|0.0022|0.0020|0.0028|0.0034|0.0036|0.0048|0.0067|0.0071|0.0068
 6690|0.0023|0.0023|0.0021|0.0030|0.0037|0.0039|0.0051|0.0072|0.0077|0.0073
 6695|0.0025|0.0024|0.0022|0.0032|0.0039|0.0041|0.0055|0.0077|0.0082|0.0078
 6700|0.0026|0.0026|0.0024|0.0034|0.0042|0.0044|0.0058|0.0083|0.0089|0.0084
 6705|0.0028|0.0028|0.0025|0.0036|0.0045|0.0047|0.0063|0.0089|0.0095|0.0091
 6710|0.0030|0.0029|0.0027|0.0038|0.0048|0.0050|0.0067|0.0096|0.0103|0.0097
 6715|0.0032|0.0031|0.0028|0.0041|0.0051|0.0053|0.0072|0.0103|0.0111|0.0105
 6720|0.0034|0.0033|0.0030|0.0044|0.0054|0.0057|0.0077|0.0111|0.0119|0.0113
 6725|0.0036|0.0035|0.0032|0.0046|0.0058|0.0061|0.0083|0.0120|0.0129|0.0122
 6730|0.0038|0.0038|0.0034|0.0050|0.0062|0.0065|0.0089|0.0129|0.0139|0.0132
 6735|0.0041|0.0040|0.0036|0.0053|0.0066|0.0070|0.0095|0.0139|0.0150|0.0142
 6740|0.0043|0.0043|0.0039|0.0056|0.0071|0.0075|0.0102|0.0150|0.0162|0.0153
 6745|0.0046|0.0046|0.0041|0.0060|0.0076|0.0080|0.0110|0.0161|0.0175|0.0166
 6750|0.0049|0.0049|0.0044|0.0064|0.0081|0.0086|0.0118|0.0174|0.0189|0.0179
 6755|0.0053|0.0052|0.0047|0.0069|0.0087|0.0092|0.0127|0.0188|0.0205|0.0194
 6760|0.0056|0.0055|0.0050|0.0074|0.0093|0.0099|0.0136|0.0203|0.0221|0.0210
 6765|0.0060|0.0059|0.0053|0.0079|0.0100|0.0106|0.0147|0.0220|0.0240|0.0228
 6770|0.0064|0.0063|0.0057|0.0085|0.0107|0.0114|0.0158|0.0237|0.0260|0.0247
 6775|0.0069|0.0068|0.0061|0.0091|0.0115|0.0123|0.0170|0.0257|0.0282|0.0268
