#Table: J/A+A/552/A124/tablee7.dat (cdsarc.u-strasbg.fr)
#---------------------------------------------------------------------------
#    l|      |      |      |      |      |      |      |      |      |
#ambda|  Tr00|  Tr23|  Tr47|  Tr70|  Tr93| Tr117| Tr140| Tr163| Tr186| Tr210
#-----|------|------|------|------|------|------|------|------|------|------
 6600|0.0005|0.0005|0.0005|0.0006|0.0006|0.0007|0.0010|0.0009|0.0008|0.0009
 6605|0.0009|0.0009|0.0009|0.0010|0.0010|0.0012|0.0018|0.0017|0.0014|0.0016
 6610|0.0010|0.0010|0.0010|0.0012|0.0012|0.0014|0.0021|0.0019|0.0016|0.0019
 6615|0.0011|0.0011|0.0011|0.0013|0.0013|0.0015|0.0023|0.0021|0.0018|0.0020
 6620|0.0012|0.0012|0.0012|0.0014|0.0014|0.0016|0.0026|0.0024|0.0020|0.0023
 6625|0.0013|0.0013|0.0013|0.0016|0.0015|0.0018|0.0030|0.0027|0.0022|0.0025
 6630|0.0014|0.0014|0.0014|0.0017|0.0017|0.0020|0.0033|0.0030|0.0024|0.0029
 6635|0.0016|0.0015|0.0015|0.0019|0.0019|0.0023|0.0038|0.0034|0.0027|0.0032
 6640|0.0017|0.0017|0.0017|0.0022|0.0021|0.0025|0.0043|0.0038|0.0030|0.0036
 6645|0.0019|0.0019|0.0019|0.0024|0.0023|0.0028|0.0049|0.0043|0.0034|0.0041
 6650|0.0021|0.0021|0.0021|0.0027|0.0026|0.0032|0.0056|0.0049|0.0038|0.0047
 6655|0.0024|0.0024|0.0023|0.0031|0.0029|0.0036|0.0065|0.0057|0.0043|0.0053
 6660|0.0027|0.0027|0.0026|0.0035|0.0033|0.0041|0.0074|0.0065|0.0049|0.0061
 6665|0.0030|0.0030|0.0030|0.0040|0.0037|0.0046|0.0085|0.0075|0.0056|0.0070
 6670|0.0034|0.0033|0.0034|0.0045|0.0043|0.0053|0.0098|0.0086|0.0065|0.0081
 6675|0.0039|0.0038|0.0038|0.0051|0.0048|0.0061|0.0113|0.0099|0.0074|0.0093
 6680|0.0045|0.0043|0.0043|0.0059|0.0055|0.0070|0.0130|0.0114|0.0085|0.0107
 6685|0.0051|0.0049|0.0049|0.0067|0.0064|0.0080|0.0149|0.0131|0.0098|0.0123
 6690|0.0058|0.0056|0.0057|0.0077|0.0073|0.0092|0.0170|0.0150|0.0113|0.0142
 6695|0.0067|0.0065|0.0065|0.0089|0.0084|0.0106|0.0194|0.0172|0.0130|0.0163
 6700|0.0077|0.0075|0.0074|0.0102|0.0097|0.0122|0.0221|0.0196|0.0149|0.0186
 6705|0.0088|0.0086|0.0085|0.0117|0.0111|0.0140|0.0251|0.0223|0.0171|0.0212
