#Table: J/A+A/552/A124/tablee5.dat (cdsarc.u-strasbg.fr)
#---------------------------------------------------------------------------
#    l|      |      |      |      |      |      |      |      |      |
#ambda|  Tr00|  Tr23|  Tr47|  Tr70|  Tr93| Tr117| Tr140| Tr163| Tr186| Tr210
#-----|------|------|------|------|------|------|------|------|------|------
 5300|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0006|0.0002|0.0000
 5305|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0013|0.0007|0.0000
 5310|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0001|0.0018|0.0014|0.0002
 5315|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0007|0.0021|0.0019|0.0006
 5320|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0014|0.0023|0.0022|0.0013
 5325|0.0000|0.0000|0.0000|0.0000|0.0000|0.0001|0.0019|0.0025|0.0024|0.0018
 5330|0.0000|0.0000|0.0000|0.0000|0.0000|0.0005|0.0022|0.0027|0.0026|0.0021
 5335|0.0000|0.0000|0.0000|0.0000|0.0001|0.0012|0.0024|0.0030|0.0029|0.0023
 5340|0.0000|0.0000|0.0000|0.0000|0.0005|0.0018|0.0027|0.0033|0.0031|0.0025
 5345|0.0000|0.0000|0.0000|0.0001|0.0012|0.0021|0.0029|0.0036|0.0034|0.0027
 5350|0.0000|0.0000|0.0000|0.0005|0.0018|0.0023|0.0032|0.0039|0.0038|0.0030
 5355|0.0000|0.0000|0.0000|0.0011|0.0021|0.0025|0.0035|0.0043|0.0041|0.0033
 5360|0.0000|0.0000|0.0001|0.0017|0.0023|0.0027|0.0038|0.0048|0.0046|0.0036
 5365|0.0000|0.0000|0.0004|0.0020|0.0025|0.0029|0.0042|0.0052|0.0050|0.0040
 5370|0.0000|0.0000|0.0011|0.0022|0.0027|0.0032|0.0046|0.0057|0.0055|0.0043
 5375|0.0000|0.0000|0.0017|0.0024|0.0029|0.0035|0.0050|0.0063|0.0061|0.0048
 5380|0.0003|0.0004|0.0021|0.0026|0.0032|0.0038|0.0055|0.0069|0.0067|0.0052
 5385|0.0010|0.0010|0.0023|0.0029|0.0035|0.0041|0.0060|0.0076|0.0073|0.0058
 5390|0.0016|0.0017|0.0025|0.0031|0.0038|0.0045|0.0066|0.0083|0.0081|0.0063
