##Table: J/A+A/552/A124/tablee8.dat (cdsarc.u-strasbg.fr)
#---------------------------------------------------------------------------
#    l|      |      |      |      |      |      |      |      |      |
#ambda|  Tr00|  Tr23|  Tr47|  Tr70|  Tr93| Tr117| Tr140| Tr163| Tr186| Tr210
#-----|------|------|------|------|------|------|------|------|------|------
 7850|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0001|0.0003|0.0000|0.0000
 7855|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0003|0.0006|0.0000|0.0000
 7860|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0006|0.0010|0.0000|0.0000
 7865|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0010|0.0013|0.0001|0.0000
 7870|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0013|0.0015|0.0003|0.0000
 7875|0.0000|0.0000|0.0000|0.0000|0.0000|0.0001|0.0015|0.0017|0.0006|0.0000
 7880|0.0000|0.0000|0.0000|0.0000|0.0000|0.0003|0.0017|0.0018|0.0009|0.0000
 7885|0.0000|0.0000|0.0000|0.0000|0.0000|0.0006|0.0018|0.0019|0.0012|0.0000
 7890|0.0000|0.0000|0.0000|0.0000|0.0001|0.0009|0.0019|0.0021|0.0014|0.0002
 7895|0.0000|0.0000|0.0000|0.0000|0.0003|0.0012|0.0020|0.0022|0.0016|0.0004
 7900|0.0000|0.0000|0.0000|0.0001|0.0006|0.0015|0.0022|0.0023|0.0017|0.0006
 7905|0.0000|0.0000|0.0000|0.0003|0.0009|0.0016|0.0023|0.0025|0.0018|0.0009
 7910|0.0000|0.0000|0.0000|0.0006|0.0012|0.0017|0.0025|0.0027|0.0019|0.0012
 7915|0.0000|0.0000|0.0000|0.0009|0.0015|0.0018|0.0027|0.0029|0.0021|0.0015
 7920|0.0000|0.0000|0.0001|0.0012|0.0017|0.0020|0.0029|0.0031|0.0022|0.0016
 7925|0.0000|0.0000|0.0003|0.0014|0.0018|0.0021|0.0031|0.0033|0.0024|0.0017
 7930|0.0000|0.0000|0.0006|0.0016|0.0019|0.0022|0.0033|0.0035|0.0025|0.0018
 7935|0.0000|0.0000|0.0009|0.0017|0.0020|0.0024|0.0035|0.0038|0.0027|0.0019
 7940|0.0000|0.0000|0.0012|0.0018|0.0022|0.0026|0.0038|0.0041|0.0029|0.0021
 7945|0.0001|0.0000|0.0015|0.0019|0.0023|0.0027|0.0041|0.0044|0.0031|0.0022
 7950|0.0003|0.0001|0.0016|0.0021|0.0025|0.0029|0.0044|0.0047|0.0033|0.0023
 7955|0.0006|0.0003|0.0017|0.0022|0.0026|0.0031|0.0047|0.0051|0.0036|0.0025
 7960|0.0009|0.0006|0.0019|0.0024|0.0028|0.0034|0.0051|0.0055|0.0039|0.0027
 7965|0.0012|0.0009|0.0020|0.0026|0.0031|0.0037|0.0057|0.0062|0.0043|0.0029
 7970|0.0015|0.0013|0.0023|0.0029|0.0035|0.0042|0.0064|0.0070|0.0048|0.0032
 7975|0.0017|0.0016|0.0025|0.0032|0.0039|0.0046|0.0072|0.0079|0.0053|0.0036
 7980|0.0019|0.0018|0.0028|0.0036|0.0043|0.0052|0.0081|0.0088|0.0059|0.0039
 7985|0.0021|0.0020|0.0030|0.0039|0.0047|0.0057|0.0090|0.0098|0.0066|0.0043
 7990|0.0022|0.0021|0.0033|0.0042|0.0051|0.0062|0.0098|0.0107|0.0071|0.0046
 7995|0.0024|0.0023|0.0035|0.0045|0.0055|0.0066|0.0106|0.0116|0.0077|0.0050
 8000|0.0025|0.0024|0.0037|0.0048|0.0058|0.0071|0.0114|0.0125|0.0083|0.0053
 8005|0.0027|0.0026|0.0040|0.0052|0.0063|0.0076|0.0123|0.0135|0.0089|0.0057
 8010|0.0029|0.0027|0.0042|0.0055|0.0067|0.0082|0.0133|0.0147|0.0096|0.0061
 8015|0.0030|0.0029|0.0045|0.0059|0.0072|0.0089|0.0145|0.0160|0.0105|0.0066
 8020|0.0033|0.0031|0.0049|0.0064|0.0078|0.0096|0.0158|0.0174|0.0114|0.0071
 8025|0.0035|0.0033|0.0052|0.0069|0.0084|0.0104|0.0171|0.0189|0.0123|0.0076
 8030|0.0037|0.0035|0.0056|0.0074|0.0091|0.0112|0.0186|0.0206|0.0134|0.0082
 8035|0.0040|0.0038|0.0060|0.0080|0.0098|0.0122|0.0202|0.0225|0.0145|0.0089
 8040|0.0043|0.0040|0.0065|0.0086|0.0106|0.0132|0.0221|0.0246|0.0158|0.0096
 8045|0.0046|0.0043|0.0070|0.0093|0.0115|0.0143|0.0241|0.0269|0.0173|0.0104
 8050|0.0049|0.0046|0.0076|0.0101|0.0125|0.0156|0.0263|0.0294|0.0189|0.0113
 8055|0.0053|0.0050|0.0082|0.0109|0.0136|0.0170|0.0288|0.0322|0.0206|0.0123
 8060|0.0057|0.0053|0.0088|0.0119|0.0148|0.0185|0.0315|0.0353|0.0226|0.0134
 8065|0.0061|0.0057|0.0095|0.0129|0.0161|0.0201|0.0344|0.0386|0.0247|0.0146
 8070|0.0066|0.0062|0.0103|0.0140|0.0175|0.0220|0.0377|0.0424|0.0271|0.0159
 8075|0.0071|0.0067|0.0112|0.0152|0.0191|0.0240|0.0413|0.0465|0.0297|0.0174
 8080|0.0077|0.0072|0.0121|0.0165|0.0208|0.0262|0.0453|0.0510|0.0326|0.0190
 8085|0.0083|0.0077|0.0131|0.0180|0.0226|0.0286|0.0495|0.0558|0.0357|0.0207
 8090|0.0089|0.0083|0.0142|0.0195|0.0246|0.0311|0.0540|0.0609|0.0391|0.0226
 8095|0.0096|0.0090|0.0154|0.0212|0.0268|0.0339|0.0589|0.0665|0.0429|0.0246
 8100|0.0104|0.0097|0.0167|0.0231|0.0292|0.0370|0.0643|0.0725|0.0470|0.0269
 8105|0.0112|0.0105|0.0182|0.0251|0.0318|0.0404|0.0701|0.0790|0.0514|0.0295
 8110|0.0121|0.0113|0.0197|0.0273|0.0347|0.0441|0.0762|0.0859|0.0563|0.0322
 8115|0.0131|0.0122|0.0214|0.0297|0.0377|0.0479|0.0826|0.0930|0.0614|0.0352
 8120|0.0141|0.0131|0.0231|0.0322|0.0410|0.0521|0.0893|0.1005|0.0669|0.0384
 8125|0.0152|0.0142|0.0251|0.0349|0.0445|0.0565|0.0964|0.1083|0.0728|0.0419
 8130|0.0164|0.0152|0.0271|0.0378|0.0482|0.0611|0.1035|0.1162|0.0790|0.0456
 8135|0.0176|0.0163|0.0292|0.0407|0.0519|0.0657|0.1104|0.1239|0.0851|0.0494
