mean,sigma,skewness,kurtosis
-100.0,2.3388365434584557e-05,3.43740390664928e-11,2.777936234377165e-07
-77.77777777777646,1.992342265566549e-05,3.904668716834198e-11,2.366390281505204e-07
-55.55555555555475,1.546849597389155e-05,3.789466530538237e-11,1.8372596999327584e-07
-33.33333333333303,1.0023585389262735e-05,2.945947124592398e-11,1.1905444119442166e-07
-11.111111111110404,3.5886910723093024e-06,1.2309969977212145e-11,4.2624435092619706e-08
11.111111111111313,3.5886911291527213e-06,-1.2306478017526028e-11,4.262443398239668e-08
33.33333333333303,1.0023585389262735e-05,-2.94629632056101e-11,1.1905444075033245e-07
55.555555555556566,1.5468495803361293e-05,-3.788248405066338e-11,1.8372596977123123e-07
77.77777777777828,1.9923422485135234e-05,-3.9033612621610266e-11,2.366390274843866e-07
100.00000000000091,2.3388365434584557e-05,-3.4366243063472634e-11,2.777936234377165e-07
