mean,sigma,skewness,kurtosis
0.0,-12.125568496889684,3.2240402643111645e-15,-6.92517598821496e-09
9.094947017729282e-13,-9.429360304581223,5.908809866247805e-15,3.3549632982854405e-07
0.0,-6.736578945667986,1.5374385442004282e-15,1.3043559499159585e-07
0.0,-4.04095649697399,1.1623501360504618e-15,2.952964683888837e-07
1.8189894035458565e-12,-1.3472338750402173,1.3910534022662212e-14,2.2967754076397284e-07
9.094947017729282e-13,1.3469530082866186,6.7402942778547225e-15,2.2922044906614758e-07
9.094947017729282e-13,4.041594761022395,6.659890013711261e-15,2.897064275142469e-07
0.0,6.7343878442838445,3.5011093749831806e-16,1.415041195329536e-07
0.0,9.429927362239653,1.820181341304316e-15,3.1596086058627293e-07
1.8189894035458565e-12,12.122208046659466,1.1786270700726713e-14,4.2156138579940716e-08
